,x,y,Mass,halo_id,Ellipticity,Ellipse Parameter,Area,PCA_likelihood,PCA
517,4.7498393058776855,-3.5031075477600098,11.120589926870851,301418,0.6804361797876052,"((31.556001663208008, 31.51764488220215), (11.541678428649902, 18.02294158935547), 175.9291229248047)",653.4983837811883,9404.090170311621,PCA(n_components=20)
518,-2.024897336959839,2.539832592010498,10.692059593528981,301419,0.4525208458656153,"((31.708646774291992, 31.734214782714844), (6.386000633239746, 10.994088172912598), 4.356627941131592)",220.56573509493677,9341.606953431401,PCA(n_components=20)
519,1.8936649560928345,-1.2423843145370483,10.864370520421883,301911,0.6035113096650523,"((31.650943756103516, 31.32962989807129), (9.271026611328125, 15.227755546569824), 0.4878745675086975)",443.52039641499977,9542.4079722832,PCA(n_components=20)
520,-1.4357720613479614,5.449903964996338,10.782362330127814,301912,0.5218893375415383,"((31.72856903076172, 31.52815055847168), (6.342055797576904, 12.239023208618164), 8.449822425842285)",243.85220650067197,10013.773857044649,PCA(n_components=20)
521,9.749944686889648,-2.25156307220459,11.08930364231156,302351,0.5085022520149176,"((31.45653533935547, 31.416410446166992), (11.992867469787598, 23.799922943115234), 0.7987254858016968)",896.7026600082806,7966.337556065567,PCA(n_components=20)
522,8.230384826660156,-3.4578311443328857,11.070639431833426,302687,0.9828675652103235,"((31.516525268554688, 31.419940948486328), (15.325871467590332, 16.241626739501953), 83.90339660644531)",781.9960819264708,8518.017690414597,PCA(n_components=20)
523,6.709574222564697,-3.251718044281006,11.220846996881859,303917,0.9554658617441694,"((31.52385711669922, 31.422224044799805), (14.821775436401367, 16.227855682373047), 53.02650451660156)",755.6335608111925,8402.0590155414,PCA(n_components=20)
524,-2.266055107116699,12.44473648071289,10.501452495979931,303919,0.75261819273304,"((31.806482315063477, 31.794233322143555), (4.779550552368164, 6.403392791748047), 159.65719604492188)",96.14950990607409,10092.606809021705,PCA(n_components=20)
525,9.24869155883789,-3.2679145336151123,11.299081990597323,304309,0.7740871143698129,"((31.442651748657227, 31.253585815429688), (15.039460182189941, 19.074256896972656), 1.3229318857192993)",901.2177741197982,8392.197276574418,PCA(n_components=20)
526,3.680788993835449,-3.09920072555542,10.783146260237302,304624,0.5816036402173442,"((31.32052993774414, 31.20291519165039), (10.529701232910156, 16.7550106048584), 3.3257174491882324)",554.256287602494,8674.447504336704,PCA(n_components=20)
527,-1.7552664279937744,8.90823745727539,10.550598176766586,304625,0.5422851307178398,"((31.48630142211914, 31.150440216064453), (4.888215065002441, 9.616579055786133), 7.001375675201416)",147.67969408005936,10038.699285327428,PCA(n_components=20)
528,5.893266677856445,-3.0026276111602783,11.199109827808346,305083,0.8289740832271625,"((31.52524757385254, 31.2440128326416), (12.94677734375, 16.09770965576172), 1.302930474281311)",654.7502031939543,8907.037585633989,PCA(n_components=20)
529,-3.1250877380371094,0.13988369703292847,10.70736587456471,305084,0.24665653194508227,"((31.53074073791504, 31.884721755981445), (4.838222980499268, 20.575132369995117), 179.98081970214844)",312.7363697458228,7790.915887311973,PCA(n_components=20)
530,1.0502222776412964,0.330951452255249,10.948164488293978,305928,0.580422750181929,"((31.545400619506836, 31.596866607666016), (8.4585599899292, 14.142967224121094), 0.05084655061364174)",375.82601701461886,9624.987124256222,PCA(n_components=20)
531,5.375238418579102,-4.350647449493408,11.176304313884323,306393,0.6254583947729487,"((31.349613189697266, 31.450458526611328), (11.956746101379395, 19.778446197509766), 179.15684509277344)",742.9422387681391,8781.882538469343,PCA(n_components=20)
532,-1.6749237775802612,12.947132110595703,10.52635273048901,306394,0.9037637712086156,"((31.375661849975586, 31.539411544799805), (4.412774562835693, 4.655521392822266), 79.80401611328125)",64.54014553327951,9691.632559972451,PCA(n_components=20)
533,5.441957950592041,-4.424015045166016,11.123191423222837,306720,0.6436693007784957,"((31.492158889770508, 31.81012535095215), (12.41415786743164, 20.07787322998047), 1.6629114151000977)",783.0416167952176,8366.745973831574,PCA(n_components=20)
534,11.546303749084473,-1.4896091222763062,11.317957014251292,307072,0.5918479002209164,"((31.30422592163086, 31.896944046020508), (16.063688278198242, 26.961637496948242), 3.3986213207244873)",1360.6342718827332,5789.639032914551,PCA(n_components=20)
535,4.416932582855225,-0.8503179550170898,11.113019300211285,307538,0.866221500608869,"((31.70742416381836, 31.578847885131836), (11.811738014221191, 13.612702369689941), 174.2165069580078)",505.1356587885126,8838.25793970593,PCA(n_components=20)
536,-1.5524332523345947,-0.547956645488739,10.701015019315703,307539,0.36827039174234893,"((31.478260040283203, 30.941329956054688), (6.442753791809082, 17.33490562438965), 179.61668395996094)",350.8672956444176,9366.324926620491,PCA(n_components=20)
537,5.017674922943115,-4.645717144012451,11.16249164796808,308023,0.5416948315858215,"((31.770523071289062, 31.70973777770996), (11.953272819519043, 21.510051727294922), 172.6824951171875)",807.7522182577317,7583.092072457611,PCA(n_components=20)
538,-0.028416603803634644,-2.3655827045440674,10.873783005666668,308444,0.42248007927628134,"((31.607349395751953, 31.71304702758789), (8.463765144348145, 19.018495559692383), 0.3211175203323364)",505.6961370126032,9609.850855601155,PCA(n_components=20)
539,-1.6394009590148926,2.414109945297241,10.766367857096817,308445,0.4396698928982311,"((31.679412841796875, 31.609378814697266), (6.48005485534668, 13.858440399169922), 4.50264835357666)",282.125871341368,8595.818997984941,PCA(n_components=20)
540,4.340882301330566,-0.36389145255088806,11.032866761937552,309334,0.7038048598045454,"((31.472490310668945, 31.533283233642578), (11.078177452087402, 14.017302513122559), 137.239501953125)",487.845874037041,8674.73368067891,PCA(n_components=20)
541,1.6106675863265991,-0.2146090269088745,10.812646035615716,309725,0.6311711657583758,"((31.52825355529785, 31.504192352294922), (8.868632316589355, 14.770413398742676), 173.88636779785156)",411.52779503002535,9636.996352244845,PCA(n_components=20)
542,1.1739616394042969,5.29395055770874,10.575136454384756,309726,0.9152898447618208,"((31.45209312438965, 31.751285552978516), (8.822498321533203, 9.14779281616211), 10.313545227050781)",253.54659176285904,10013.27357388514,PCA(n_components=20)
543,9.237418174743652,-3.010467529296875,11.198936020574306,310106,0.6701235942683252,"((31.6179256439209, 31.24854850769043), (13.913949966430664, 19.977413177490234), 178.73953247070312)",873.2519455893248,8226.274311528136,PCA(n_components=20)
